# HW-016d -- ES8311 on-board analog mic capture HW-VERIFIED WORKING (issue #6)

Date: 2026-06-06
Board: m5stack_sticks3/esp32s3/procpu  (M5StickS3, ESP32-S3-PICO-1-N8R8)
Build: demo (overlay-ble + overlay-audio + overlay-ir), CONFIG_APP_AUDIO
Firmware: a live-capture diagnostic (audio_mic_monitor) -- full-duplex I2S
          (I2S_DIR_BOTH), speaker amp OFF, NO beep. TX streams silence to keep
          the shared BCLK/WS running; each window reports the MAX rms/peak over
          ~16 captured RX blocks of the ES8311 ADC (slot 0).

Method / stimulus: with the device quiet the capture sits at the noise floor
(rms ~0-6, then ~70-100 as room ambience). Then LOUD external sounds (hand
claps / speech close to the on-board mic) were made. The captured RMS jumps to
the tens-of-thousands with the peak pinning at the 16-bit full scale (32767).

Conclusion: the full analog capture chain -- on-board MEMS mic (MSM381A3729H9BPC)
-> ES8311 MIC1 differential ADC -> SoC I2S0 RX (DIN G16) -> capture DSP -- works
and digitizes real acoustic audio. The earlier HW-016/AUD-H2 "rms=0 during the
beep" reading was a WEAK-ACOUSTIC-STIMULUS confound: the tiny on-board speaker at
the codec's low playback volume barely couples to the adjacent mic, so a
beep-only test reads the noise floor regardless of mic health. It was never an
analog/ADC fault -- the `0x44=0x68` digital-mux loopback (rms=4089/peak=5800,
2026-06-05) had already proven ASDOUT + I2S0 RX + DSP, and every ADC register
reads back exactly as written. Issue #6 RESOLVED; PAGE_AUDIO is now a live
mic-level meter (audio_mic_sample()).

--- serial capture (per-window max rms/peak; quiet -> claps -> quiet) ---

MIC MONITOR: amp OFF, no beep -- make a LOUD sound at the mic, watch rms
MIC MON w0: max rms=0 peak=0
MIC MON w1: max rms=0 peak=1
MIC MON w2: max rms=0 peak=1
MIC MON w3: max rms=0 peak=1
MIC MON w4: max rms=0 peak=1
MIC MON w5: max rms=0 peak=1
MIC MON w6: max rms=0 peak=1
MIC MON w7: max rms=0 peak=1
MIC MON w8: max rms=0 peak=1
MIC MON w9: max rms=0 peak=2
MIC MON w10: max rms=1 peak=3
MIC MON w11: max rms=1 peak=4
MIC MON w12: max rms=1 peak=5
MIC MON w13: max rms=3 peak=8
MIC MON w14: max rms=4 peak=21
MIC MON w15: max rms=6 peak=24
MIC MON w16: max rms=268 peak=687
MIC MON w17: max rms=411 peak=1122
MIC MON w18: max rms=39 peak=110
MIC MON w19: max rms=50 peak=161
MIC MON w20: max rms=71 peak=213
MIC MON w21: max rms=94 peak=270
MIC MON w22: max rms=93 peak=269
MIC MON w23: max rms=101 peak=271
MIC MON w24: max rms=100 peak=280
MIC MON w25: max rms=106 peak=300
MIC MON w26: max rms=391 peak=1109
MIC MON w27: max rms=12824 peak=32767
MIC MON w28: max rms=6226 peak=32767
MIC MON w29: max rms=30797 peak=32767
MIC MON w30: max rms=23542 peak=32767
MIC MON w31: max rms=2809 peak=7571
MIC MON w32: max rms=15872 peak=32767
MIC MON w33: max rms=902 peak=2918
MIC MON w34: max rms=17405 peak=32767
MIC MON w35: max rms=1856 peak=6072
MIC MON w36: max rms=19115 peak=32767
MIC MON w37: max rms=2421 peak=6489
MIC MON w38: max rms=25126 peak=32767
MIC MON w39: max rms=1311 peak=3616
MIC MON w40: max rms=19103 peak=32767
MIC MON w41: max rms=1458 peak=6062
MIC MON w42: max rms=5160 peak=32767
MIC MON w43: max rms=3514 peak=25008
MIC MON w44: max rms=12962 peak=32767
MIC MON w45: max rms=1754 peak=6043
MIC MON w46: max rms=25681 peak=32767
MIC MON w47: max rms=4494 peak=12179
MIC MON w48: max rms=26196 peak=32767
MIC MON w49: max rms=3356 peak=11282
MIC MON w50: max rms=18647 peak=32767
MIC MON w51: max rms=2575 peak=8016
MIC MON w52: max rms=29173 peak=32767
MIC MON w53: max rms=16438 peak=32767
MIC MON w54: max rms=7226 peak=17328
MIC MON w55: max rms=26949 peak=32767
MIC MON w56: max rms=3508 peak=9464
MIC MON w57: max rms=19290 peak=32767
MIC MON w58: max rms=1512 peak=4414
MIC MON w59: max rms=27517 peak=32767
MIC MON w60: max rms=1393 peak=4966
MIC MON w61: max rms=18544 peak=32767
MIC MON w62: max rms=21257 peak=32767
MIC MON w63: max rms=4690 peak=15620
